,#,,,,,
indep_abcd,1612213143,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,17316
indep_abcd,1612213143,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,8025
indep_abcd,1612213143,exp.independent.yes.conditional,3,Does Cece have a dord? ,Yes,10689
indep_abcd,1612213143,exp.distractor.no.non_cond,4,Does Dana love to flomp? ,No,5861
indep_abcd,1612213143,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,5552
indep_abcd,1612213143,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,6602
indep_abcd,1612213143,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,6221
indep_abcd,1612213143,exp.independent.yes.conditional,8,Does Helen have a lealo? ,Yes,6750
indep_abcd,1612213143,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,6553
indep_abcd,1612213143,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,4971
indep_abcd,1612213143,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,4539
indep_abcd,1612213143,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,4640
indep_abcd,1612213143,exp.independent.yes.conditional,13,Does Marc have a lammor? ,Yes,4199
indep_abcd,1612213143,exp.distractor.no.non_cond,14,Does Nate know karink? ,No,5051
indep_abcd,1612213143,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,5199
indep_abcd,1612213143,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,9541
indep_abcd,1612213143,exp.distractor.no.conditional,17,Does Quinn care about vanoir? ,No,4071
indep_abcd,1612213143,exp.independent.yes.conditional,18,Does Rita have a hoopler? ,Yes,4606
indep_abcd,1612213143,exp.distractor.no.conditional,19,Does Steve love pavarons? ,No,3618
indep_abcd,1612213143,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,Yes,10153
indep_abcd,1612213288,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,16980
indep_abcd,1612213288,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,10293
indep_abcd,1612213288,exp.independent.yes.conditional,3,Does Cece have a dord? ,Yes,22484
indep_abcd,1612213288,exp.distractor.no.non_cond,4,Does Dana love to flomp? ,No,9237
indep_abcd,1612213288,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,7481
indep_abcd,1612213288,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,16285
indep_abcd,1612213288,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,8096
indep_abcd,1612213288,exp.independent.yes.conditional,8,Does Helen have a lealo? ,Yes,15606
indep_abcd,1612213288,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,9670
indep_abcd,1612213288,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,28258
indep_abcd,1612213288,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,7682
indep_abcd,1612213288,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,6504
indep_abcd,1612213288,exp.independent.yes.conditional,13,Does Marc have a lammor? ,Yes,8563
indep_abcd,1612213288,exp.distractor.no.non_cond,14,Does Nate know karink? ,No,11185
indep_abcd,1612213288,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,55104
indep_abcd,1612213288,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,4823
indep_abcd,1612213288,exp.distractor.no.conditional,17,Does Quinn care about vanoir? ,No,13081
indep_abcd,1612213288,exp.independent.yes.conditional,18,Does Rita have a hoopler? ,Yes,6687
indep_abcd,1612213288,exp.distractor.no.conditional,19,Does Steve love pavarons? ,No,7180
indep_abcd,1612213288,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,No,23064
indep_abcd,1612214277,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,61757
indep_abcd,1612214277,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,28013
indep_abcd,1612214277,exp.independent.yes.conditional,3,Does Cece have a dord? ,Yes,52024
indep_abcd,1612214277,exp.distractor.no.non_cond,4,Does Dana love to flomp? ,No,14292
indep_abcd,1612214277,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,16013
indep_abcd,1612214277,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,10043
indep_abcd,1612214277,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,6560
indep_abcd,1612214277,exp.independent.yes.conditional,8,Does Helen have a lealo? ,Yes,9305
indep_abcd,1612214277,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,6259
indep_abcd,1612214277,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,6048
indep_abcd,1612214277,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,7200
indep_abcd,1612214277,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,5548
indep_abcd,1612214277,exp.independent.yes.conditional,13,Does Marc have a lammor? ,Yes,9631
indep_abcd,1612214277,exp.distractor.no.non_cond,14,Does Nate know karink? ,No,8333
indep_abcd,1612214277,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,5781
indep_abcd,1612214277,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,5207
indep_abcd,1612214277,exp.distractor.no.conditional,17,Does Quinn care about vanoir? ,No,7794
indep_abcd,1612214277,exp.independent.yes.conditional,18,Does Rita have a hoopler? ,Yes,8645
indep_abcd,1612214277,exp.distractor.no.conditional,19,Does Steve love pavarons? ,No,5259
indep_abcd,1612214277,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,Yes,9945
indep_abcd,1612214498,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,43096
indep_abcd,1612214498,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,11226
indep_abcd,1612214498,exp.independent.yes.conditional,3,Does Cece have a dord? ,No,15801
indep_abcd,1612214498,exp.distractor.no.non_cond,4,Does Dana love to flomp? ,No,21963
indep_abcd,1612214498,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,8318
indep_abcd,1612214498,exp.distractor.no.conditional,6,Does Faye have a taplor? ,Yes,11662
indep_abcd,1612214498,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,17439
indep_abcd,1612214498,exp.independent.yes.conditional,8,Does Helen have a lealo? ,Yes,17121
indep_abcd,1612214498,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,8495
indep_abcd,1612214498,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,22760
indep_abcd,1612214498,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,11549
indep_abcd,1612214498,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,7210
indep_abcd,1612214498,exp.independent.yes.conditional,13,Does Marc have a lammor? ,No,20292
indep_abcd,1612214498,exp.distractor.no.non_cond,14,Does Nate know karink? ,No,9019
indep_abcd,1612214498,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,14638
indep_abcd,1612214498,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,7004
indep_abcd,1612214498,exp.distractor.no.conditional,17,Does Quinn care about vanoir? ,No,12401
indep_abcd,1612214498,exp.independent.yes.conditional,18,Does Rita have a hoopler? ,Yes,21882
indep_abcd,1612214498,exp.distractor.no.conditional,19,Does Steve love pavarons? ,No,8591
indep_abcd,1612214498,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,Yes,10663
indep_abcd,1612215404,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,8353
