,#,,,,,
dep_cdab,1612213540,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,22702
dep_cdab,1612213540,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,14641
dep_cdab,1612213540,exp.dependent.no.conditional,3,Does Marc have a lammor? ,No,8528
dep_cdab,1612213540,exp.distractor.yes.non_cond,4,Does Dana love to flomp? ,Yes,21074
dep_cdab,1612213540,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,8595
dep_cdab,1612213540,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,9094
dep_cdab,1612213540,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,No,18119
dep_cdab,1612213540,exp.dependent.no.conditional,8,Does Rita have a hoopler? ,Yes,17980
dep_cdab,1612213540,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,14106
dep_cdab,1612213540,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,No,15255
dep_cdab,1612213540,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,8536
dep_cdab,1612213540,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,16827
dep_cdab,1612213540,exp.dependent.no.conditional,13,Does Cece have a dord? ,Yes,20416
dep_cdab,1612213540,exp.distractor.yes.non_cond,14,Does Nate know karink? ,Yes,6826
dep_cdab,1612213540,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,8586
dep_cdab,1612213540,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,7390
dep_cdab,1612213540,exp.distractor.yes.conditional,17,Does Quinn care about vanoir? ,Yes,12203
dep_cdab,1612213540,exp.dependent.no.conditional,18,Does Helen have a lealo? ,Yes,21906
dep_cdab,1612213540,exp.distractor.yes.conditional,19,Does Steve love pavarons? ,Yes,8146
dep_cdab,1612213540,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,No,6744
dep_cdab,1612213669,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,14696
dep_cdab,1612213669,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,No,5793
dep_cdab,1612213669,exp.dependent.no.conditional,3,Does Marc have a lammor? ,No,9333
dep_cdab,1612213669,exp.distractor.yes.non_cond,4,Does Dana love to flomp? ,Yes,9312
dep_cdab,1612213669,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,5882
dep_cdab,1612213669,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,6115
dep_cdab,1612213669,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,2916
dep_cdab,1612213669,exp.dependent.no.conditional,8,Does Rita have a hoopler? ,No,12283
dep_cdab,1612213669,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,4577
dep_cdab,1612213669,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,2829
dep_cdab,1612213669,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,3101
dep_cdab,1612213669,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,3144
dep_cdab,1612213669,exp.dependent.no.conditional,13,Does Cece have a dord? ,No,5450
dep_cdab,1612213669,exp.distractor.yes.non_cond,14,Does Nate know karink? ,Yes,2863
dep_cdab,1612213669,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,3147
dep_cdab,1612213669,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,3657
dep_cdab,1612213669,exp.distractor.yes.conditional,17,Does Quinn care about vanoir? ,Yes,3649
dep_cdab,1612213669,exp.dependent.no.conditional,18,Does Helen have a lealo? ,No,6724
dep_cdab,1612213669,exp.distractor.yes.conditional,19,Does Steve love pavarons? ,Yes,2983
dep_cdab,1612213669,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,No,3963
dep_cdab,1612214972,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,21895
dep_cdab,1612214972,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,12061
dep_cdab,1612214972,exp.dependent.no.conditional,3,Does Marc have a lammor? ,Yes,48056
dep_cdab,1612214972,exp.distractor.yes.non_cond,4,Does Dana love to flomp? ,Yes,9808
dep_cdab,1612214972,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,10072
dep_cdab,1612214972,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,11361
dep_cdab,1612214972,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,10263
dep_cdab,1612214972,exp.dependent.no.conditional,8,Does Rita have a hoopler? ,Yes,18264
dep_cdab,1612214972,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,14523
dep_cdab,1612214972,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,11021
dep_cdab,1612214972,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,15343
dep_cdab,1612214972,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,9417
dep_cdab,1612214972,exp.dependent.no.conditional,13,Does Cece have a dord? ,Yes,19019
dep_cdab,1612214972,exp.distractor.yes.non_cond,14,Does Nate know karink? ,Yes,11781
dep_cdab,1612214972,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,10425
dep_cdab,1612214972,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,10431
dep_cdab,1612214972,exp.distractor.yes.conditional,17,Does Quinn care about vanoir? ,Yes,9110
dep_cdab,1612214972,exp.dependent.no.conditional,18,Does Helen have a lealo? ,Yes,24435
dep_cdab,1612214972,exp.distractor.yes.conditional,19,Does Steve love pavarons? ,Yes,11244
dep_cdab,1612214972,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,Yes,33593
dep_cdab,1612215545,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,9408
dep_cdab,1612215545,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,4836
dep_cdab,1612215545,exp.dependent.no.conditional,3,Does Marc have a lammor? ,Yes,19277
dep_cdab,1612215545,exp.distractor.yes.non_cond,4,Does Dana love to flomp? ,Yes,6462
dep_cdab,1612215545,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,3366
dep_cdab,1612215545,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,4510
dep_cdab,1612215545,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,4190
dep_cdab,1612215545,exp.dependent.no.conditional,8,Does Rita have a hoopler? ,Yes,7166
dep_cdab,1612215545,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,5205
dep_cdab,1612215545,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,2924
dep_cdab,1612215545,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,7021
