,#,,,,,
indep_dabc,1612213965,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,18360
indep_dabc,1612213965,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,17587
indep_dabc,1612213965,exp.independent.yes.conditional,3,Does Rita have a hoopler? ,No,42457
indep_dabc,1612213965,exp.distractor.no.non_cond,4,Does Dana love to flomp? ,No,8414
indep_dabc,1612213965,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,8225
indep_dabc,1612213965,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,11834
indep_dabc,1612213965,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,19587
indep_dabc,1612213965,exp.independent.yes.conditional,8,Does Cece have a dord? ,No,11811
indep_dabc,1612213965,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,26552
indep_dabc,1612213965,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,33555
indep_dabc,1612213965,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,10412
indep_dabc,1612213965,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,13832
indep_dabc,1612213965,exp.independent.yes.conditional,13,Does Helen have a lealo? ,No,16564
indep_dabc,1612213965,exp.distractor.no.non_cond,14,Does Nate know karink? ,No,10976
indep_dabc,1612213965,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,8382
indep_dabc,1612213965,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,10017
indep_dabc,1612213965,exp.distractor.no.conditional,17,Does Quinn care about vanoir? ,No,15636
indep_dabc,1612213965,exp.independent.yes.conditional,18,Does Marc have a lammor? ,No,27731
indep_dabc,1612213965,exp.distractor.no.conditional,19,Does Steve love pavarons? ,No,12857
indep_dabc,1612213965,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,No,15843
indep_dabc,1612213983,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,39044
indep_dabc,1612213983,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,13864
indep_dabc,1612213983,exp.independent.yes.conditional,3,Does Rita have a hoopler? ,No,22446
indep_dabc,1612213983,exp.distractor.no.non_cond,4,Does Dana love to flomp? ,No,11660
indep_dabc,1612213983,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,14719
indep_dabc,1612213983,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,15301
indep_dabc,1612213983,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,18220
indep_dabc,1612213983,exp.independent.yes.conditional,8,Does Cece have a dord? ,Yes,13600
