,#,,,,,
indep_bcda,1612213289,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,23374
indep_bcda,1612213289,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,38411
indep_bcda,1612213289,exp.independent.yes.conditional,3,Does Helen have a lealo? ,No,39322
indep_bcda,1612213289,exp.distractor.no.non_cond,4,Does Dana love to flomp? ,No,14236
indep_bcda,1612213289,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,10111
indep_bcda,1612213289,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,26987
indep_bcda,1612213289,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,15110
indep_bcda,1612213289,exp.independent.yes.conditional,8,Does Marc have a lammor? ,No,15005
indep_bcda,1612213289,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,12576
indep_bcda,1612213289,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,7386
indep_bcda,1612213289,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,13595
indep_bcda,1612213289,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,7491
indep_bcda,1612213289,exp.independent.yes.conditional,13,Does Rita have a hoopler? ,Yes,13266
indep_bcda,1612213289,exp.distractor.no.non_cond,14,Does Nate know karink? ,No,19924
indep_bcda,1612213289,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,10048
indep_bcda,1612213289,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,10358
indep_bcda,1612213289,exp.distractor.no.conditional,17,Does Quinn care about vanoir? ,No,16367
indep_bcda,1612213289,exp.independent.yes.conditional,18,Does Cece have a dord? ,No,12692
indep_bcda,1612213289,exp.distractor.no.conditional,19,Does Steve love pavarons? ,No,9783
indep_bcda,1612213289,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,Yes,6321
indep_bcda,1612213610,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,11256
indep_bcda,1612213610,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,8972
indep_bcda,1612213610,exp.independent.yes.conditional,3,Does Helen have a lealo? ,Yes,22090
indep_bcda,1612213610,exp.distractor.no.non_cond,4,Does Dana love to flomp? ,No,7610
indep_bcda,1612213610,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,9243
indep_bcda,1612213610,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,36894
indep_bcda,1612213610,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,9229
indep_bcda,1612213610,exp.independent.yes.conditional,8,Does Marc have a lammor? ,Yes,37034
indep_bcda,1612213610,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,10717
indep_bcda,1612213610,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,14410
indep_bcda,1612213610,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,7740
indep_bcda,1612213610,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,5495
indep_bcda,1612213610,exp.independent.yes.conditional,13,Does Rita have a hoopler? ,Yes,10657
indep_bcda,1612213610,exp.distractor.no.non_cond,14,Does Nate know karink? ,No,13789
indep_bcda,1612213610,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,5121
indep_bcda,1612213610,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,4970
indep_bcda,1612213610,exp.distractor.no.conditional,17,Does Quinn care about vanoir? ,No,5622
indep_bcda,1612213610,exp.independent.yes.conditional,18,Does Cece have a dord? ,Yes,10606
indep_bcda,1612213610,exp.distractor.no.conditional,19,Does Steve love pavarons? ,No,44175
indep_bcda,1612213610,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,No,48001
indep_bcda,1612214122,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,11182
indep_bcda,1612214122,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,23675
