exp,#,,,,,
dep_bcda,1612213677,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,10526
dep_bcda,1612213677,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,7216
dep_bcda,1612213677,exp.dependent.no.conditional,3,Does Helen have a lealo? ,No,30076
dep_bcda,1612213677,exp.distractor.yes.non_cond,4,Does Dana love to flomp? ,Yes,3962
dep_bcda,1612213677,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,2567
dep_bcda,1612213677,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,6823
dep_bcda,1612213677,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,3941
dep_bcda,1612213677,exp.dependent.no.conditional,8,Does Marc have a lammor? ,No,11643
dep_bcda,1612213677,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,9000
dep_bcda,1612213677,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,No,4620
dep_bcda,1612213677,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,10335
dep_bcda,1612213677,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,No,5056
dep_bcda,1612213677,exp.dependent.no.conditional,13,Does Rita have a hoopler? ,No,6965
dep_bcda,1612213677,exp.distractor.yes.non_cond,14,Does Nate know karink? ,Yes,3673
dep_bcda,1612213677,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,2592
dep_bcda,1612213677,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,3656
dep_bcda,1612213677,exp.distractor.yes.conditional,17,Does Quinn care about vanoir? ,Yes,2984
dep_bcda,1612213677,exp.dependent.no.conditional,18,Does Cece have a dord? ,No,5216
dep_bcda,1612213677,exp.distractor.yes.conditional,19,Does Steve love pavarons? ,Yes,3326
dep_bcda,1612213677,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,No,5635
dep_bcda,1612214031,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,23510
dep_bcda,1612214031,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,19322
dep_bcda,1612214031,exp.dependent.no.conditional,3,Does Helen have a lealo? ,Yes,40855
dep_bcda,1612214031,exp.distractor.yes.non_cond,4,Does Dana love to flomp? ,Yes,110881
dep_bcda,1612214031,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,6561
dep_bcda,1612214031,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,7046
dep_bcda,1612214031,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,10584
dep_bcda,1612214031,exp.dependent.no.conditional,8,Does Marc have a lammor? ,Yes,19935
dep_bcda,1612214031,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,9936
dep_bcda,1612214031,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,4738
dep_bcda,1612214031,exp.distractor.no.non_cond,11,Does Katie care about linters? ,Yes,13406
dep_bcda,1612214031,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,4162
dep_bcda,1612214031,exp.dependent.no.conditional,13,Does Rita have a hoopler? ,Yes,9024
dep_bcda,1612214031,exp.distractor.yes.non_cond,14,Does Nate know karink? ,Yes,188281
dep_bcda,1612214031,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,Yes,4088
dep_bcda,1612214031,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,3285
dep_bcda,1612214031,exp.distractor.yes.conditional,17,Does Quinn care about vanoir? ,Yes,6121
dep_bcda,1612214031,exp.dependent.no.conditional,18,Does Cece have a dord? ,Yes,10469
dep_bcda,1612214031,exp.distractor.yes.conditional,19,Does Steve love pavarons? ,Yes,6442
dep_bcda,1612214031,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,No,10638
dep_bcda,1612214065,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,5637
dep_bcda,1612214065,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,5035
dep_bcda,1612214065,exp.dependent.no.conditional,3,Does Helen have a lealo? ,No,5124
dep_bcda,1612214065,exp.distractor.yes.non_cond,4,Does Dana love to flomp? ,Yes,2827
dep_bcda,1612214065,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,2332
dep_bcda,1612214065,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,3164
dep_bcda,1612214065,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,1980
dep_bcda,1612214065,exp.dependent.no.conditional,8,Does Marc have a lammor? ,Yes,3187
dep_bcda,1612214065,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,4108
dep_bcda,1612214065,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,3788
dep_bcda,1612214065,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,2453
dep_bcda,1612214065,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,1832
dep_bcda,1612214065,exp.dependent.no.conditional,13,Does Rita have a hoopler? ,Yes,4277
dep_bcda,1612214065,exp.distractor.yes.non_cond,14,Does Nate know karink? ,Yes,2299
dep_bcda,1612214065,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,2117
dep_bcda,1612214065,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,3140
dep_bcda,1612214065,exp.distractor.yes.conditional,17,Does Quinn care about vanoir? ,Yes,2085
dep_bcda,1612214065,exp.dependent.no.conditional,18,Does Cece have a dord? ,Yes,2965
dep_bcda,1612214065,exp.distractor.yes.conditional,19,Does Steve love pavarons? ,Yes,1892
dep_bcda,1612214065,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,Yes,5900
dep_bcda,1612214192,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,13254
dep_bcda,1612214192,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,16068
dep_bcda,1612214192,exp.dependent.no.conditional,3,Does Helen have a lealo? ,Yes,12821
dep_bcda,1612214192,exp.distractor.yes.non_cond,4,Does Dana love to flomp? ,Yes,13912
dep_bcda,1612214192,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,10117
dep_bcda,1612214192,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,14083
dep_bcda,1612214192,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,15564
dep_bcda,1612214192,exp.dependent.no.conditional,8,Does Marc have a lammor? ,Yes,11699
dep_bcda,1612214192,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,9402
dep_bcda,1612214192,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,9368
dep_bcda,1612214192,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,9114
