,#,,,,,
dep_dabc,1612213164,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,19794
dep_dabc,1612213164,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,36237
dep_dabc,1612213164,exp.dependent.no.conditional,3,Does Rita have a hoopler? ,No,25869
dep_dabc,1612213164,exp.distractor.yes.non_cond,4,Does Dana love to flomp? ,Yes,11789
dep_dabc,1612213164,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,10821
dep_dabc,1612213164,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,10453
dep_dabc,1612213164,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,5333
dep_dabc,1612213164,exp.dependent.no.conditional,8,Does Cece have a dord? ,No,11661
dep_dabc,1612213164,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,6661
dep_dabc,1612213164,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,7453
dep_dabc,1612213164,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,6662
dep_dabc,1612213164,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,6981
dep_dabc,1612213164,exp.dependent.no.conditional,13,Does Helen have a lealo? ,No,7605
dep_dabc,1612213164,exp.distractor.yes.non_cond,14,Does Nate know karink? ,Yes,4845
dep_dabc,1612213164,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,5741
dep_dabc,1612213164,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,5118
dep_dabc,1612213164,exp.distractor.yes.conditional,17,Does Quinn care about vanoir? ,Yes,4598
dep_dabc,1612213164,exp.dependent.no.conditional,18,Does Marc have a lammor? ,No,4596
dep_dabc,1612213164,exp.distractor.yes.conditional,19,Does Steve love pavarons? ,Yes,4662
dep_dabc,1612213164,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,No,6421
dep_dabc,1612213801,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,15990
dep_dabc,1612213801,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,16969
dep_dabc,1612213801,exp.dependent.no.conditional,3,Does Rita have a hoopler? ,Yes,23121
dep_dabc,1612213801,exp.distractor.yes.non_cond,4,Does Dana love to flomp? ,Yes,8679
dep_dabc,1612213801,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,6024
dep_dabc,1612213801,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,7765
dep_dabc,1612213801,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,5682
dep_dabc,1612213801,exp.dependent.no.conditional,8,Does Cece have a dord? ,Yes,8018
dep_dabc,1612213801,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,6710
dep_dabc,1612213801,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,5339
dep_dabc,1612213801,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,4709
dep_dabc,1612213801,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,3329
dep_dabc,1612213801,exp.dependent.no.conditional,13,Does Helen have a lealo? ,Yes,5823
dep_dabc,1612213801,exp.distractor.yes.non_cond,14,Does Nate know karink? ,Yes,4426
dep_dabc,1612213801,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,3342
dep_dabc,1612213801,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,2826
dep_dabc,1612213801,exp.distractor.yes.conditional,17,Does Quinn care about vanoir? ,Yes,2936
dep_dabc,1612213801,exp.dependent.no.conditional,18,Does Marc have a lammor? ,Yes,3281
dep_dabc,1612213801,exp.distractor.yes.conditional,19,Does Steve love pavarons? ,Yes,2420
dep_dabc,1612213801,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,Yes,6260
dep_dabc,1612214433,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,25446
dep_dabc,1612214433,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,18780
dep_dabc,1612214433,exp.dependent.no.conditional,3,Does Rita have a hoopler? ,Yes,16633
dep_dabc,1612214433,exp.distractor.yes.non_cond,4,Does Dana love to flomp? ,Yes,12452
dep_dabc,1612214433,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,10727
